City Name,Subdivision
Kiev,Kiev
Kharkiv,Kharkiv Oblast
Dnipropetrovsk,Dnipropetrovsk Oblast
Odesa,Odessa Oblast
Donetsk,Donetsk Oblast
Zaporozhe,Zaporizka Oblast
Lviv,Lviv Oblast
Krivoy Rog,Dnipropetrovsk Oblast
Mykolayiv,Mykolaiv Oblast
Mariupol,Donetsk Oblast
Luhansk,Luhansk Oblast
Makeevka,Donetsk Oblast
Vinnitsa,Vinnytska Oblast
Simferopol,Crimea
Sevastopol,Sevastopol
Kherson,Kherson Oblast
Poltava,Poltava Oblast
Chernihiv,Chernihiv Oblast
Cherkasy,Cherkasy Oblast
Sumy,Sumy Oblast
Horlivka,Donetsk Oblast
Zhytomyr,Zhytomyr Oblast
Dniprodzerzhynsk,Dnipropetrovsk Oblast
Kirovohrad,Kirovohrad Oblast
Khmelnytskyy,Khmelnytskyi Oblast
Rivne,Rivne Oblast
Chernivtsi,Chernivtsi Oblast
Kremenchuk,Poltava Oblast
Ternopil,Ternopil Oblast
Ivano-Frankivsk,Ivano-Frankivsk Oblast
Lutsk,Volyn Oblast
Bila Tserkva,Kiev Oblast
Kramatorsk,Donetsk Oblast
Melitopol,Zaporizhia Oblast
Kerch,Crimea
Nikopol,Dnipropetrovsk Oblast
Sloviansk,Donetsk Oblast
Berdyansk,Zaporizhia Oblast
Severodonetsk,Luhansk Oblast
Alchevsk,Luhansk Oblast
Pavlohrad,Dnipropetrovsk Oblast
Uzhhorod,Zakarpattia Oblast
Lisichansk,Luhansk Oblast
Yevpatoriya,Crimea
Yenakiyevo,Donetsk Oblast
Kamenetspodilski,Khmelnytskyi Oblast
Kostyantynivka,Donetsk Oblast
Krasny Luch,Luhansk Oblast
Aleksandria,Kirovohrad Oblast
Konotop,Sumy Oblast
Stakhanov,Luhansk Oblast
Uman,Cherkasy Oblast
Berdychiv,Zhytomyr Oblast
Shostka,Sumy Oblast
Brovary,Kiev Oblast
Izmail,Odessa Oblast
Artemivsk,Donetsk Oblast
Mukachevo,Zakarpattia Oblast
Yalta,Crimea
Drohobych,Lviv Oblast
Nizhyn,Chernihiv Oblast
Feodosiya,Crimea
Sverdlovsk,Luhansk Oblast
Novomoskovsk,Dnipropetrovsk Oblast
Torez,Donetsk Oblast
Chervonohrad,Lviv Oblast
Pervomaisk,Mykolaiv Oblast
Smila,Cherkasy Oblast
Krasnoarmiysk,Donetsk Oblast
Kalush,Ivano-Frankivsk Oblast
Korosten,Zhytomyr Oblast
Kovel,Volyn Oblast
Rubizhne,Luhansk Oblast
Pryluky,Chernihiv Oblast
Druzhkivka,Donetsk Oblast
Khartsyzsk,Donetsk Oblast
Lozova,Kharkiv Oblast
Antratsyt,Luhansk Oblast
Stryi,Lviv Oblast
Kholomya,Ivano-Frankivsk Oblast
Shakhtarsk,Donetsk Oblast
Snizhne,Donetsk Oblast
Novohrad-Volynskyi,Zhytomyr Oblast
Izyum,Kharkiv Oblast
Dymytrov,Donetsk Oblast
Bryanka,Luhansk Oblast
Illichivsk,Odessa Oblast
Boryspil,Kiev Oblast
Novovolynsk,Volyn Oblast
Rowenki,Luhansk Oblast
Zhovti Vody,Dnipropetrovsk Oblast
Lubny,Poltava Oblast
Nova Kakhovka,Kherson Oblast
Fastiv,Kiev Oblast
Komsomolsk,Poltava Oblast
Krasnodon,Luhansk Oblast
Romny,Sumy Oblast
Okhtyrka,Sumy Oblast
Svitlovodsk,Kirovohrad Oblast
Marhanets,Dnipropetrovsk Oblast
Shepetivka,Khmelnytskyi Oblast
Ordzhonikidze,Dnipropetrovsk Oblast
Dzerzhynsk,Donetsk Oblast
Dzhankoy,Crimea
Pervomaysk,Luhansk Oblast
Myrhorod,Poltava Oblast
Voznesensk,Mykolaiv Oblast
Kotovsk,Odessa Oblast
Irpin,Kiev Oblast
Vasilkov,Kiev Oblast
Dubno,Rivne Oblast
Kuznetsovsk,Rivne Oblast
Volodymyr-Volynskyi,Volyn Oblast
Kakhovka,Kherson Oblast
Boryslav,Lviv Oblast
Yasynuvata,Donetsk Oblast
Zhmerynka,Vinnytsia Oblast
Avdiyivka,Donetsk Oblast
Chuguyev,Kharkiv Oblast
Sambir,Lviv Oblast
Tokmak,Zaporizhia Oblast
Boyarka,Kiev Oblast
Hlukhiv,Sumy Oblast
Dobropillya,Donetsk Oblast
Starokonstantinov,Khmelnytskyi Oblast
Kirovsk,Luhansk Oblast
Vyshneve,Kiev Oblast
Netishyn,Khmelnytskyi Oblast
Slavuta,Khmelnytskyi Oblast
Mohyliv-Podilskyi,Vinnytsia Oblast
Obukhiv,Kiev Oblast
Pervomayskyy,Kharkiv Oblast
Kupyansk,Kharkiv Oblast
Balakleya,Kharkiv Oblast
Synelnykove,Dnipropetrovsk Oblast
Pereyaslavkhmelnitskiy,Kiev Oblast
Alushta,Crimea
Truskavets,Lviv Oblast
Krasnoperekopsk,Crimea
Kirovske,Donetsk Oblast
Kostopil,Rivne Oblast
Debaltsevo,Donetsk Oblast
Perevalsk,Luhansk Oblast
Saky,Crimea
Znamenka,Kirovohrad Oblast
Ternivka,Dnipropetrovsk Oblast
Pershotravensk,Dnipropetrovsk Oblast
Khust,Zakarpattia Oblast
Chertkov,Ternopil Oblast
Lebedyn,Sumy Oblast
Zolotonosha,Cherkasy Oblast
Bucha,Kiev Oblast
Novyi Rozdil,Lviv Oblast
Krasnyi Lyman,Donetsk Oblast
Sarny,Rivne Oblast
Malyn,Zhytomyr Oblast
Khmilnyk,Vinnytsia Oblast
Bakhchisaray,Crimea
Selydove,Donetsk Oblast
Berehove,Zakarpattia Oblast
Kaniv,Cherkasy Oblast
Kozyatyn,Vinnytsia Oblast
Korostyshiv,Zhytomyr Oblast
Popasna,Luhansk Oblast
Vynohradiv,Zakarpattia Oblast
Haysyn,Vinnytsia Oblast
Krolevets,Sumy Oblast
Merefa,Kharkiv Oblast
Volnovakha,Donetsk Oblast
Zdolbuniv,Rivne Oblast
Kreminna,Luhansk Oblast
Dokuchayevsk,Donetsk Oblast
Lyobotin,Kharkiv Oblast
Tsiurupynsk,Kherson Oblast
Yuzhne,Odessa Oblast
Armiansk,Crimea
Vilnohirsk,Dnipropetrovsk Oblast
Yahotyn,Kiev Oblast
Sukhodolsk,Luhansk Oblast
Zolochiv,Lviv Oblast
Trostyanets,Sumy Oblast
Brody,Lviv Oblast
Polonne,Khmelnytskyi Oblast
Vyshhorod,Kiev Oblast
Hadyach,Poltava Oblast
Krasnohrad,Kharkiv Oblast
Kilia,Odessa Oblast
Starobilsk,Luhansk Oblast
Ladyzhyn,Vinnytsia Oblast
Polohy,Zaporizhia Oblast
Amvrosiyevka,Donetsk Oblast
Kremenets,Ternopil Oblast
Henichesk,Kherson Oblast
Kurakhovo,Donetsk Oblast
Dniprorudne,Zaporizhia Oblast
Volochysk,Khmelnytskyi Oblast
Nadvirna,Ivano-Frankivsk Oblast
Dolyna,Ivano-Frankivsk Oblast
Vovchansk,Kharkiv Oblast
Krasyliv,Khmelnytskyi Oblast
Piatykhatky,Dnipropetrovsk Oblast
Reni,Odessa Oblast
Bakhmach,Chernihiv Oblast
Derhachi,Kharkiv Oblast
Vatutine,Cherkasy Oblast
Kalynivka,Vinnytsia Oblast
Balta,Odessa Oblast
Zvenyhorodka,Cherkasy Oblast
Zuhres,Donetsk Oblast
Skadovsk,Kherson Oblast
Svatove,Luhansk Oblast
Shpola,Cherkasy Oblast
Novoukrainka,Kirovohrad Oblast
Korsun-Shevchenkivskyi,Cherkasy Oblast
Lutuhyne,Luhansk Oblast
Dolynska,Kirovohrad Oblast
Izyaslav,Khmelnytskyi Oblast
Bilopillya,Sumy Oblast
Bohodukhiv,Kharkiv Oblast
Skvyra,Kiev Oblast
Karlivka,Poltava Oblast
Orikhiv,Zaporizhia Oblast
Zolote,Luhansk Oblast
Pidhorodne,Dnipropetrovsk Oblast
Rozdilna,Odessa Oblast
Horodok,Khmelnytskyi Oblast
Chervonopartizansk,Luhansk Oblast
Ilovaisk,Donetsk Oblast
Berezhany,Ternopil Oblast
Novohrodivka,Donetsk Oblast
Vuhledar,Donetsk Oblast
Berezan,Kiev Oblast
Putyvl,Sumy Oblast
Bolhrad,Odessa Oblast
Bar,Vinnytsia Oblast
Bohuslav,Kiev Oblast
Hulyaypole,Zaporizhia Oblast
Zmiyev,Kharkiv Oblast
Ovruch,Zhytomyr Oblast
Verkhnodniprovsk,Dnipropetrovsk Oblast
Ochakiv,Mykolaiv Oblast
Krasnohorivka,Donetsk Oblast
Kivertsi,Volyn Oblast
Pyryatyn,Poltava Oblast
Mykolaivka,Donetsk Oblast
Chasiv Yar,Donetsk Oblast
Vilnyansk,Zaporizhia Oblast
Dunaivtsi,Khmelnytskyi Oblast
Apostolove,Dnipropetrovsk Oblast
Talne,Cherkasy Oblast
Artsyz,Odessa Oblast
Novyi Buh,Mykolaiv Oblast
Tulchyn,Vinnytsia Oblast
Hayvoron,Kirovohrad Oblast
Horodok,Lviv Oblast
Hola Prystan,Kherson Oblast
Nosivka,Chernihiv Oblast
Zhashkiv,Cherkasy Oblast
Vasylivka,Zaporizhia Oblast
Kamianka-Dniprovska,Zaporizhia Oblast
Petrovskoe,Luhansk Oblast
Beryslav,Kherson Oblast
Snihurivka,Mykolaiv Oblast
Radomyshl,Zhytomyr Oblast
Burshtyn,Ivano-Frankivsk Oblast
Rakhiv,Zakarpattia Oblast
Novhorod-Siverskyi,Chernihiv Oblast
Kamianka,Cherkasy Oblast
Tetiyev,Kiev Oblast
Nikolayev,Lviv Oblast
Ostroh,Rivne Oblast
Zelenodolsk,Dnipropetrovsk Oblast
Vakhrusheve,Luhansk Oblast
Khorol,Poltava Oblast
Storozhynets,Chernivtsi Oblast
Sudak,Crimea
Seversk,Donetsk Oblast
Koryukivka,Chernihiv Oblast
Bilyayivka,Odessa Oblast
Hirnyk,Donetsk Oblast
Ukrainka,Kiev Oblast
Nova Odesa,Mykolaiv Oblast
Horodnya,Chernihiv Oblast
Schastye,Luhansk Oblast
Kaharlyk,Kiev Oblast
Zhdanivka,Donetsk Oblast
Berezne,Rivne Oblast
Vynnyky,Lviv Oblast
Yavoriv,Lviv Oblast
Zhovkva,Lviv Oblast
Myronivka,Kiev Oblast
Bershad,Vinnytsia Oblast
Ukrainsk,Donetsk Oblast
Zbarazh,Ternopil Oblast
Novomyrhorod,Kirovohrad Oblast
Uzyn,Kiev Oblast
Svetlodarsk,Donetsk Oblast
Soledar,Donetsk Oblast
Bashtanka,Mykolaiv Oblast
Mala Vyska,Kirovohrad Oblast
Barvinkove,Kharkiv Oblast
Prymorsk,Zaporizhia Oblast
Mena,Chernihiv Oblast
Hlobyne,Poltava Oblast
Hnivan,Vinnytsia Oblast
Komsomolske,Donetsk Oblast
Ichnya,Chernihiv Oblast
Novoazovsk,Donetsk Oblast
Baranivka,Zhytomyr Oblast
Buchach,Ternopil Oblast
Lokhvytsya,Poltava Oblast
Bobrinets,Kirovohrad Oblast
Nemyriv,Vinnytsia Oblast
Kobelyaky,Poltava Oblast
Rodinskoye,Donetsk Oblast
Chyhyryn,Cherkasy Oblast
Bobrovytsya,Chernihiv Oblast
Sosnivka,Lviv Oblast
Zhydachiv,Lviv Oblast
Yampil,Vinnytsia Oblast
Mospyne,Donetsk Oblast
Borzna,Chernihiv Oblast
Shcholkine,Crimea
Buryn,Sumy Oblast
Hrebinka,Poltava Oblast
Khrystynivka,Cherkasy Oblast
Hirske,Luhansk Oblast
Tavriysk,Kherson Oblast
Khotyn,Chernivtsi Oblast
Illintsi,Vinnytsia Oblast
Pomichna,Kirovohrad Oblast
Olevsk,Zhytomyr Oblast
Kamin-Kashyrskyi,Volyn Oblast
Tatarbunary,Odessa Oblast
Marinka,Donetsk Oblast
Bolekhiv,Ivano-Frankivsk Oblast
Inkerman,Sevastopol
Zinkiv,Poltava Oblast
Khodoriv,Lviv Oblast
Sniatyn,Ivano-Frankivsk Oblast
Derazhnya,Khmelnytskyi Oblast
Lyuboml,Volyn Oblast
Valky,Kharkiv Oblast
Novodnistrovsk,Chernivtsi Oblast
Radyvyliv,Rivne Oblast
Sokyryany,Chernivtsi Oblast
Verkhivtseve,Dnipropetrovsk Oblast
Staryi Krym,Crimea
Andrushivka,Zhytomyr Oblast
Pustomyty,Lviv Oblast
Horodenka,Ivano-Frankivsk Oblast
Tysmenytsya,Ivano-Frankivsk Oblast
Tyachiv,Zakarpattia Oblast
Semenivka,Chernihiv Oblast
Dubrovytsya,Rivne Oblast
Kodyma,Odessa Oblast
Irshava,Zakarpattia Oblast
Berezivka,Odessa Oblast
Ananyiv,Odessa Oblast
Lypovets,Vinnytsia Oblast
Vylkove,Odessa Oblast
Radekhiv,Lviv Oblast
Mostyska,Lviv Oblast
Artemivsk,Luhansk Oblast
Novodruzhesk,Luhansk Oblast
Chervonozavodske,Poltava Oblast
Alupka,Crimea
Horokhiv,Volyn Oblast
Pryvillya,Luhansk Oblast
Chop,Zakarpattia Oblast
Zastavna,Chernivtsi Oblast
Zorinsk,Luhansk Oblast
Tlumach,Ivano-Frankivsk Oblast
Teplodar,Odessa Oblast
Lanivtsi,Ternopil Oblast
Busk,Lviv Oblast
Korets,Rivne Oblast
Rohatyn,Ivano-Frankivsk Oblast
Pivdenne,Kharkiv Oblast
Dublyany,Lviv Oblast
Novoselytsya,Chernivtsi Oblast
Vorozhba,Sumy Oblast
Kosiv,Ivano-Frankivsk Oblast
Rava-Ruska,Lviv Oblast
Molochansk,Zaporizhia Oblast
Yaremcha,Ivano-Frankivsk Oblast
Turka,Lviv Oblast
Kitsman,Chernivtsi Oblast
Peremyshlyany,Lviv Oblast
Ulianovka,Kirovohrad Oblast
Seredyna-Buda,Sumy Oblast
Zboriv,Ternopil Oblast
Khorostkiv,Ternopil Oblast
Oster,Chernihiv Oblast
Sharhorod,Vinnytsia Oblast
Perechyn,Zakarpattia Oblast
Kopychyntsi,Ternopil Oblast
Skole,Lviv Oblast
Artemove,Donetsk Oblast
Sudova Vyshnia,Lviv Oblast
Halych,Ivano-Frankivsk Oblast
Morshyn,Lviv Oblast
Monastyryska,Ternopil Oblast
Miusinsk,Luhansk Oblast
Vashkivtsi,Chernivtsi Oblast
Velyki Mosty,Lviv Oblast
Druzhba,Sumy Oblast
Staryi Sambir,Lviv Oblast
Shumsk,Ternopil Oblast
Slavyanogorsk,Donetsk Oblast
Almazna,Luhansk Oblast
Vyzhnytsya,Chernivtsi Oblast
Maydanets,Cherkasy Oblast
Dobromil,Lviv Oblast
Rudky,Lviv Oblast
Khyriv,Lviv Oblast
Skalat,Ternopil Oblast
Komarno,Lviv Oblast
Bibrka,Lviv Oblast
Novyi Kalyniv,Lviv Oblast
Pidhaytsi,Ternopil Oblast
Baturyn,Chernihiv Oblast
Belz,Lviv Oblast
Ustyluh,Volyn Oblast
Hertsa,Chernivtsi Oblast
Berestechko,Volyn Oblast
Uhniv,Lviv Oblast
Chernobyl,Kiev Oblast
